-9.8e-09	0	0	0
-9.6e-09	0	0	0
-9.4e-09	0	0	0
-9.2e-09	0	0	0
-9e-09	0	0	0
-8.8e-09	0	0	0
-8.6e-09	0	0	0
-8.4e-09	0	0	0
-8.2e-09	0	0	0
-8e-09	0	0	0
-7.8e-09	0	0	0
-7.6e-09	0	0	0
-7.4e-09	0	0	0
-7.2e-09	0	0	0
-7e-09	0	0	0
-6.8e-09	0	0	0
-6.6e-09	0	0	0
-6.4e-09	0	0	0
-6.2e-09	0	0	0
-6e-09	0	0	0
-5.8e-09	0	0	0
-5.6e-09	0	0	0
-5.4e-09	0	0	0
-5.2e-09	0	0	0
-5e-09	0	0	0
-4.8e-09	0	0	0
-4.6e-09	0	0	0
-4.4e-09	0	0	0
-4.2e-09	0	0	0
-4e-09	0	0	0
-3.8e-09	0	0	0
-3.6e-09	0	0	0
-3.4e-09	0	0	0
-3.2e-09	0	0	0
-3e-09	0	0	0
-2.8e-09	0	0	0
-2.6e-09	0	0	0
-2.4e-09	0	0	0
-2.2e-09	0	0	0
-2e-09	0	0	0
-1.8e-09	0	0	0
-1.6e-09	0	0	0
-1.4e-09	0	0	0
-1.2e-09	0	0	0
-1e-09	0	0	0
-8e-10	0	0	0
-6e-10	0	0	0
-4e-10	0	0	0
-2e-10	0	0	0
0	0	0	0
2e-10	0	0	0
4e-10	0	0	0
6e-10	0	0	0
8e-10	0	0	0
1e-09	0	0	0
1.2e-09	0	0	0
1.4e-09	0	0	0
1.6e-09	0	0	0
1.8e-09	0	0	0
2e-09	9.3272429380358e-15	-4.0031220065179e-15	1.0270007121947e-16
2.2e-09	-2.2443533139161e-12	1.6328082619975e-12	-1.3527378442578e-13
2.4e-09	1.2640838554521e-12	8.5662357367996e-13	-1.4226371533079e-14
2.6e-09	-8.623970664978e-12	-2.820692295796e-13	-2.9004395366778e-13
2.8e-09	-3.8722510501707e-13	2.4020968617227e-12	8.3825347550057e-14
3e-09	-5.0253236956977e-12	-1.268997518822e-12	-2.4166961333692e-13
3.2e-09	-1.4368141980823e-11	3.5183620968019e-11	-1.1995007300161e-12
3.4e-09	2.6345046612955e-12	4.4224317437103e-12	-4.6527082542158e-13
3.6e-09	2.072780024015e-12	1.2662483949869e-11	4.1168796591313e-13
3.8e-09	-5.5495809934453e-13	3.3589246981104e-11	1.4293229172536e-14
4e-09	4.0288492007951e-12	-3.390271608864e-12	1.0135773288389e-12
4.2e-09	3.2458396546459e-12	1.5521598499025e-11	-9.4862318937261e-13
4.4e-09	1.2801072373392e-11	4.8036102238853e-11	-2.0331544908228e-12
4.6e-09	-1.3829660402396e-11	9.4418443052382e-11	1.1859561416254e-12
4.8e-09	3.0051709442584e-11	6.8920388281836e-11	1.6627471678156e-12
5e-09	-2.0805383216962e-11	1.2486703780004e-10	-6.9533550548492e-13
5.2e-09	-4.1288306416651e-11	1.9044564340608e-10	-1.5178320168702e-12
5.4e-09	5.864448072198e-11	2.8497414773406e-10	-3.0631605685257e-12
5.6e-09	-1.6027076564332e-10	4.9519637439345e-10	-1.1922802504338e-11
5.8e-09	-1.7636721085552e-10	9.0723005844206e-10	-3.9176571342477e-12
6e-09	-2.5832463076384e-10	1.6628545368612e-09	-7.315218071432e-12
6.2e-09	-3.1675960876204e-10	3.7922431516848e-09	-1.0262195114095e-11
6.4e-09	-2.1989030937724e-09	1.33318470008e-08	-4.2569835988537e-11
6.6e-09	-4.269995766948e-09	2.1148954742895e-08	-8.4523507615826e-11
6.8e-09	-1.5586881227966e-09	9.1166760322846e-09	-4.9416697603071e-11
7e-09	-2.6978791457243e-09	5.408330561157e-09	-9.0380253785956e-11
7.2e-09	-1.8455979356097e-09	3.7845169051794e-09	-5.1023113774554e-11
7.4e-09	-1.5957200299575e-09	3.5751205876037e-09	-5.9196591298383e-11
7.6e-09	-1.9537279420179e-09	3.1693804540469e-09	-5.2190808692321e-11
7.8e-09	-1.7277317027749e-09	2.9037894337758e-09	-6.0804699652798e-11
8e-09	-2.3527854785902e-09	2.4941604895077e-09	-8.8397056797753e-11
8.2e-09	-1.1853357402535e-09	2.1455053408585e-09	-4.939715393608e-11
8.4e-09	-1.8751277715686e-09	1.8194084871291e-09	-7.7459817555637e-11
8.6e-09	-1.2753015566518e-09	2.1071773321405e-09	-6.3243845259136e-11
8.8e-09	-1.7602706744889e-09	1.5609326219945e-09	-6.361760145024e-11
9e-09	-1.6559476245143e-09	1.6315803036754e-09	-7.6739608944951e-11
9.2e-09	-2.2622931983582e-09	1.8305214365067e-09	-9.4555104472022e-11
9.4e-09	-9.817260619647e-10	1.352661143233e-09	-4.1124369771773e-11
9.6e-09	-1.6363571759824e-09	1.6294785559177e-09	-7.4660619774391e-11
9.8e-09	-1.3224276890749e-09	8.965173781522e-10	-7.1081258789355e-11
1e-08	-1.0833432957748e-09	1.4302361921025e-09	-5.13667680641e-11
1.02e-08	-1.6881542925291e-09	1.2345039532929e-09	-8.0948564544545e-11
1.04e-08	-1.2833045272028e-09	7.510774562716e-10	-6.5793109057169e-11
1.06e-08	-1.3212881951657e-09	1.2967711436849e-09	-7.8612634369399e-11
1.08e-08	-1.8668363492498e-09	7.9861966319767e-10	-9.2769223841678e-11
1.1e-08	-9.2370165267983e-10	1.1476984588132e-09	-6.7070345494229e-11
1.12e-08	-1.5484497575219e-09	1.2669281625993e-09	-9.8434510660569e-11
1.14e-08	-1.3722219725788e-09	2.408583990315e-10	-8.0365347784678e-11
1.16e-08	-7.5456070341044e-10	6.2900940006349e-10	-4.2696542744174e-11
1.18e-08	-9.6730027745154e-10	1.2622631686574e-09	-7.5442086469218e-11
